Tweet_count,Username,Text,Created At,Retweets,Likes
39,Narendra Modi,"Today, on Veer Baal Diwas, we remember the unparalleled bravery and sacrifice of the Sahibzades. At a young age, they stood firm in their faith and principles, inspiring generations with their courage. Their sacrifice is a shining example of valour and a commitment to one’s",Thu Dec 26 03:21:17 +0000 2024,8430,47715
40,Narendra Modi,"I cherish fond memories of my numerous interactions with Mr. Suzuki and deeply admire his pragmatic and humble approach. He led by example, exemplifying hard work, meticulous attention to detail and an unwavering commitment to quality. Heartfelt condolences to his family,",Fri Dec 27 12:05:16 +0000 2024,996,3453
41,Narendra Modi,Thank you Kuwait! This visit was historic and will greatly enhance our bilateral relations. I thank the Government and people of Kuwait for their warmth. I also thank the PM of Kuwait for the special gesture of coming to the airport for the see-off. https://t.co/2WPKwPtXkT,Sun Dec 22 14:36:36 +0000 2024,8429,56183
42,Narendra Modi,"Excellent meeting with His Highness the Amir of Kuwait, Sheikh Meshal Al-Ahmad Al-Jaber Al Sabah.   We discussed cooperation in key sectors like pharmaceuticals, IT, FinTech, Infrastructure and security.   In line with the close ties between our nations, we have elevated our https://t.co/yjBXjZk7gd",Sun Dec 22 10:31:49 +0000 2024,5745,40615
43,Narendra Modi,"Interacted with Archbishops, Bishops and CBCI members. Also wished His Eminence, Oswald Cardinal Gracias for his 80th birthday. https://t.co/8aoJndwLOt",Mon Dec 23 15:41:50 +0000 2024,4084,28378
44,Narendra Modi,"Attended the opening ceremony of the Arabian Gulf Cup. This grand sporting event celebrates the spirit of football in the region. I thank His Highness Sheikh Meshal Al-Ahmad Al-Jaber Al-Sabah, the Amir of Kuwait, for inviting me to witness this event. https://t.co/irYOi3SEvh",Sat Dec 21 17:55:56 +0000 2024,4126,27859
45,Narendra Modi,Met Indian workers at the Mina Abdullah. Here are highlights of a very special and memorable interaction… https://t.co/9tuIE67f6r,Sun Dec 22 06:40:21 +0000 2024,8153,51578
46,Narendra Modi,"Held fruitful discussions with HH Sheikh Ahmed Abdullah Al-Ahmed Al-Sabah, the Prime Minister of Kuwait. Our talks covered the full range of India-Kuwait relations, including trade, commerce, people-to-people ties and more. Key MoUs and Agreements were also exchanged, which will https://t.co/dSWV8VgMb8",Sun Dec 22 14:32:32 +0000 2024,3878,23531
47,Narendra Modi,Interacted with the Cardinals during the CBCI Christmas programme. India is proud of their service to society. https://t.co/0KCjGEBVBu,Mon Dec 23 15:37:24 +0000 2024,4195,38076
48,Narendra Modi,Rozgar Melas are empowering the youth and unlocking their potential. Best wishes to the newly inducted appointees. https://t.co/XkEnXIqQZv,Mon Dec 23 05:26:59 +0000 2024,2753,11720
49,Narendra Modi,Attended the Christmas celebrations hosted by the Catholic Bishops Conference of India. Here are some glimpses… https://t.co/H3SD8zGRSR,Mon Dec 23 15:28:38 +0000 2024,6473,59968
50,Narendra Modi,"Glad to have met His Highness the Amir of Kuwait, Sheikh Meshal Al-Ahmad Al-Jaber Al Sabah during the opening ceremony of the Arabian Gulf Cup. https://t.co/DaoPLKYhFy",Sat Dec 21 19:09:09 +0000 2024,6621,59480
51,Narendra Modi,"I am honoured to be conferred the Mubarak Al-Kabeer Order by His Highness the Amir of Kuwait, Sheikh Meshal Al-Ahmad Al-Jaber Al Sabah. I dedicate this honour to the people of India and to the strong friendship between India and Kuwait. https://t.co/fRuWIt34Cx",Sun Dec 22 10:57:31 +0000 2024,6853,40113
52,Narendra Modi,The CBCI Christmas celebrations brought together Christians from all walks of life. There were also soulful renditions of spiritual hymns and songs. https://t.co/0u6UJG4szT,Mon Dec 23 15:33:24 +0000 2024,3272,24076
53,Narendra Modi,"Met HH Shaikha AJ Al-Sabah in Kuwait. She has distinguished herself for her passion towards Yoga and fitness. She has established her own Yoga and wellness studio, which is quite popular in Kuwait. We talked about ways to make Yoga more popular among the youth. https://t.co/0pjMxWwUDe",Sun Dec 22 14:24:15 +0000 2024,6661,56405
54,Narendra Modi,"In Kuwait, met Mr. Fahad Ghazi Alabduljaleel, who is respected for his passion towards culture and history. He also has an India connection, with his forefathers having linkages with Surat, Mumbai and Kozhikode. https://t.co/LXtS3Qz7sc",Sun Dec 22 14:29:43 +0000 2024,4366,30823
55,Narendra Modi,"Had a very good meeting with His Highness Sheikh Sabah Al-Khaled Al-Hamad Al-Mubarak Al-Sabah, the Crown Prince of Kuwait. The discussions covered ways to deepen economic and cultural linkages between our nations.   We are extremely optimistic about the India-Kuwait Strategic https://t.co/tKuZnmBmO1",Sun Dec 22 12:52:45 +0000 2024,4170,27375
56,Narendra Modi,Gratitude to the Indian community for the community programme in Kuwait. Here are some glimpses. https://t.co/PIrI79FDBT,Sat Dec 21 17:57:42 +0000 2024,5289,40821
57,Narendra Modi,"In a short while from now, at around 6:30 PM, I look forward to joining the Christmas programme hosted by the Catholic Bishops Conference of India in New Delhi.  https://t.co/uybSnyOXv6",Mon Dec 23 12:14:49 +0000 2024,1929,12762
58,Narendra Modi,Delighted to join a Christmas programme hosted by the Catholic Bishops Conference of India. https://t.co/oA71XIkxYw,Mon Dec 23 13:52:56 +0000 2024,3617,17604
59,Narendra Modi,"Deeply saddened by the passing of Shri Shyam Benegal Ji, whose storytelling had a profound impact on Indian cinema. His works will continue to be admired by people from different walks of life. Condolences to his family and admirers. Om Shanti.",Mon Dec 23 17:26:45 +0000 2024,3172,27415
60,Narendra Modi,"India and Kuwait share multifaceted ties rooted in history, culture and mutual respect.   Our strong relations extend across energy, trade and investments. We also have a vibrant Indian diaspora strengthening the friendship further.  I highlighted this, and a wide range of other",Sun Dec 22 06:38:55 +0000 2024,3301,18362
61,Narendra Modi,Thank you Kuwait. I’m delighted by the wonderful welcome. https://t.co/sz2FF40vrM,Sat Dec 21 12:41:39 +0000 2024,12085,91541
62,Narendra Modi,"Kutch awaits you all!   Come, discover the pristine White Rann, the spectacular culture and warm hospitality of Kutch during the ongoing Rann Utsav.   The festival, which goes on till March 2025 promises to be an unforgettable experience for you and your family. https://t.co/Yp8cSUXEFO",Sat Dec 21 03:49:53 +0000 2024,9199,52250
63,Narendra Modi,Delighted to have met Shri @MangalSainHanda Ji in Kuwait this afternoon. I admire his contribution to India and his passion for India's development. https://t.co/mxFtynFatC,Sat Dec 21 12:21:40 +0000 2024,4472,35000
64,Narendra Modi,"Received a heartwarming welcome from the vibrant Indian diaspora in Kuwait.   Their energy, love and unwavering connection to India are truly inspiring. Grateful for their enthusiasm and proud of their contributions to strengthening ties between our nations. https://t.co/tvNSZinY5e",Sat Dec 21 12:19:23 +0000 2024,4822,31362
65,Narendra Modi,"Today and tomorrow, I will be visiting Kuwait. This visit will deepen India’s historical linkages with Kuwait. I look forward to meeting His Highness the Amir, the Crown Prince and the Prime Minister of Kuwait.   This evening, I will be interacting with the Indian community and",Sat Dec 21 04:10:14 +0000 2024,3599,27640
66,Narendra Modi,Attended the Christmas celebrations at the residence of Union Minister Shri George Kurian Ji. Also interacted with eminent members of the Christian community.  @GeorgekurianBjp https://t.co/VnUcfFdupX,Thu Dec 19 16:06:30 +0000 2024,7265,58464
67,Narendra Modi,"In Parliament, HM @AmitShah Ji exposed the Congress’ dark history of insulting Dr. Ambedkar and ignoring the SC/ST Communities. They are clearly stung and stunned by the facts he presented, which is why they are now indulging in theatrics! Sadly, for them, people know the truth! https://t.co/l2csoc0Bvd",Wed Dec 18 07:26:18 +0000 2024,9001,24415
68,Narendra Modi,"Pleased to speak with PM Dick Schoof. The Netherlands is a trusted &amp; valued partner. We are committed to advance and provide strategic dimension to bilateral ties in diverse sectors including water, agriculture, security, technology, semiconductors and renewable energy.  @MinPres",Wed Dec 18 13:20:06 +0000 2024,4006,26862
69,Narendra Modi,The warmth and affection of the Indian diaspora in Kuwait is extraordinary. Addressing a community programme. https://t.co/XzQDP6seLL,Sat Dec 21 13:31:55 +0000 2024,3646,13503
70,Narendra Modi,"Today, on World Meditation Day, I call upon everyone to make meditation a part of their daily lives and experience its transformative potential. Meditation is a powerful way to bring peace and harmony to one’s life, as well as to our society and planet. In the age of technology,",Sat Dec 21 06:41:49 +0000 2024,3535,18016
71,Narendra Modi,Happy to see Arabic translations of the Ramayan and Mahabharat. I compliment Abdullah Al-Baroun and Abdul Lateef Al-Nesef for their efforts in translating and publishing it. Their initiative highlights the popularity of Indian culture globally. https://t.co/3tlxauYUK5,Sat Dec 21 12:23:55 +0000 2024,13189,85230
72,Narendra Modi,"Today, on Goa Liberation Day, we recall the bravery and determination of the great women and men who were actively involved in the movement to free Goa. Their valour motivates us to keep working for the betterment of Goa and the prosperity of the people of the state.",Thu Dec 19 12:40:27 +0000 2024,4419,28296
73,Narendra Modi,"Our Government has worked to develop Panchteerth, the five iconic places associated with Dr. Ambedkar.  For decades, there was a pending issue on land for Chaitya Bhoomi. Not only did our Government resolve the issue, I have gone to pray there as well.  We have also developed 26,",Wed Dec 18 07:26:20 +0000 2024,5369,15489
